Target Industry,Attack Type,Incident Resolution Time (in Hours),Number of Affected Users
Banking,Ransomware,24,937653
Healthcare,Malware,36,794906
Healthcare,Malware,57,698852
Healthcare,Malware,63,566437
Banking,Ransomware,25,933028
Healthcare,Malware,5,969504
Banking,Malware,27,605166
Banking,Ransomware,53,128594
Banking,Malware,18,151599
Banking,Ransomware,38,222293
Banking,Malware,35,517610
Healthcare,Malware,34,714681
Healthcare,Malware,35,563706
Healthcare,Malware,56,937717
Healthcare,Malware,29,155059
Healthcare,Malware,44,755771
Banking,Malware,58,797768
Banking,Malware,27,755029
Banking,Malware,21,660182
Banking,Ransomware,47,759804
Healthcare,Malware,4,808392
Healthcare,Malware,69,325521
Healthcare,Malware,44,676384
Healthcare,Ransomware,64,961557
Banking,Malware,56,762662
Healthcare,Malware,53,80855
Healthcare,Malware,26,808984
Banking,Ransomware,48,261038
Healthcare,Malware,56,90640
Healthcare,Ransomware,40,207842
Banking,Ransomware,48,21810
Healthcare,Malware,43,654633
Banking,Ransomware,60,923911
Healthcare,Malware,36,400752
Healthcare,Ransomware,27,413293
Banking,Malware,66,741153
Banking,Malware,62,689681
Banking,Malware,27,593009
Banking,Ransomware,6,345825
Banking,Ransomware,6,565080
Banking,Malware,44,862136
Banking,Malware,3,259176
Healthcare,Malware,8,571521
Healthcare,Malware,43,158107
Banking,Ransomware,33,555527
Banking,Malware,61,791366
Banking,Ransomware,26,713584
Banking,Ransomware,36,51219
Banking,Ransomware,65,355077
Banking,Ransomware,45,952504
Healthcare,Ransomware,11,113404
Healthcare,Malware,29,434626
Healthcare,Ransomware,14,217438
Healthcare,Malware,57,481452
Banking,Ransomware,47,157313
Healthcare,Malware,48,454802
Banking,Malware,58,347441
Healthcare,Ransomware,54,994243
Banking,Ransomware,43,489620
Healthcare,Ransomware,71,410385
Banking,Ransomware,13,58037
Banking,Malware,23,452477
Banking,Ransomware,5,168881
Banking,Ransomware,63,604250
Healthcare,Malware,33,907121
Banking,Ransomware,72,277175
Healthcare,Malware,53,30180
Banking,Ransomware,34,584428
Healthcare,Ransomware,2,178268
Banking,Ransomware,54,817169
Healthcare,Malware,20,796100
Banking,Ransomware,44,501490
Banking,Malware,72,392365
Banking,Malware,66,497035
Healthcare,Malware,40,124155
Banking,Ransomware,12,397813
Banking,Ransomware,3,185001
Healthcare,Ransomware,33,152814
Healthcare,Ransomware,16,46960
Healthcare,Ransomware,44,380970
Healthcare,Ransomware,63,32616
Healthcare,Malware,8,680874
Healthcare,Ransomware,35,858128
Banking,Malware,50,850339
Healthcare,Ransomware,39,393779
Banking,Ransomware,31,910960
Banking,Ransomware,3,386308
Banking,Ransomware,15,893277
Healthcare,Malware,64,240532
Healthcare,Malware,30,437283
Healthcare,Malware,7,761390
